Detecting language using up to the first 30 seconds. Use `--language` to specify the language
Detected language: Russian
[00:00.000 --> 00:02.520]  Которые постоянно не работают.
[01:38:32.480 --> 01:38:36.480]  это влияет только на синтаксис на уровне c.
[01:38:36.480 --> 01:38:41.480]  При вызове вместо структуры будет указатель.
[01:38:41.480 --> 01:38:46.480]  А вот если ваша структура маленькая, и она способна влезть в регистр,
[01:38:46.480 --> 01:38:49.480]  вот будет в этом месте указатель,
[01:38:49.480 --> 01:38:53.480]  или в этом месте вся структура будет запихана в регистр,
[01:38:53.480 --> 01:38:56.480]  вот это я не помню.
[01:38:56.480 --> 01:39:00.480]  И по этому и подобных тонких случаях
[01:39:00.480 --> 01:39:05.480]  я вам рекомендую почитать очень хорошую PDF-ку,
[01:39:05.480 --> 01:39:08.480]  которая так и называется calling conventions,
[01:39:08.480 --> 01:39:10.480]  и автор у нее Agna.
[01:39:10.480 --> 01:39:17.480]  Если вы найдете в Google Agna.com conventions,
[01:39:17.480 --> 01:39:19.480]  то вы найдете PDF-ку,
[01:39:19.480 --> 01:39:22.480]  там описаны конвенции не только 30-битные,
[01:39:22.480 --> 01:39:25.480]  но и 60-битные, и даже 16-битные,
[01:39:25.480 --> 01:39:29.480]  куча компиляторов, куча всяких специальных случаев,
[01:39:29.480 --> 01:39:33.480]  и даже он там описывает name-manly,
[01:39:33.480 --> 01:39:37.480]  то есть каким образом разные компиляторы
[01:39:37.480 --> 01:39:40.480]  захажают плюсовые на функции,
[01:39:40.480 --> 01:39:44.480]  как они туда заковыривают информацию о аргументах.
[01:39:46.480 --> 01:39:49.480]  А это у него же было по всем инструкциям x86?
[01:39:49.480 --> 01:39:50.480]  Да, да, да.
[01:39:50.480 --> 01:39:52.480]  Ну мы еще не дошли до этого, да,
[01:39:52.480 --> 01:39:56.480]  это тот же автор, который идет еще тоже очень хорошие PDF-ки,
[01:39:56.480 --> 01:40:00.480]  он пишет про микроархитектуру,
[01:40:00.480 --> 01:40:02.480]  анализ такой независимый,
[01:40:02.480 --> 01:40:06.480]  и ведет таблички, что он там намерил,
[01:40:06.480 --> 01:40:09.480]  про скорость исполнения разных команд.
[01:40:09.480 --> 01:40:11.480]  В чем идея?
[01:40:11.480 --> 01:40:13.480]  Идея в том, что на самом деле ИСА,
[01:40:13.480 --> 01:40:15.480]  которая официальная документация,
[01:40:15.480 --> 01:40:17.480]  она про что?
[01:40:17.480 --> 01:40:19.480]  Про результат.
[01:40:19.480 --> 01:40:23.480]  Как команды работают с точки зрения результата.
[01:40:23.480 --> 01:40:27.480]  И в ИСА информация о скорости,
[01:40:27.480 --> 01:40:29.480]  сюрприз, не входит.
[01:40:29.480 --> 01:40:36.480]  И сами разработчики тоже не горят особым желанием сообщить народу,
[01:40:36.480 --> 01:40:40.480]  а с какой скоростью работают различные команды.
[01:40:40.480 --> 01:40:45.480]  Поэтому народу приходится самостоятельно изобретать,
[01:40:45.480 --> 01:40:47.480]  как бы померить эту информацию.
[01:40:47.480 --> 01:40:52.480]  И вот один из таких крупных источников этой информации,
[01:40:52.480 --> 01:40:54.480]  это как раз тот же самый Акнерфон.
[01:40:54.480 --> 01:40:57.480]  у него там есть соседние PDF-ки,
[01:40:57.480 --> 01:41:00.480]  про что он там намерил,
[01:41:00.480 --> 01:41:02.480]  про разные процессоры,
[01:41:02.480 --> 01:41:05.480]  про все команды, которые они там поддерживают.
[01:41:05.480 --> 01:41:07.480]  У него какая-то юзерспейс-команда,
[01:41:07.480 --> 01:41:10.480]  которая имеет смысл заморачиваться.
[01:41:10.480 --> 01:41:11.480]  Акнерфон.
[01:41:11.480 --> 01:41:12.480]  К примеру, Суперисон.
[01:41:12.480 --> 01:41:13.480]  Тут Дельник Острогор,
[01:41:13.480 --> 01:41:15.480]  и там короткий уже.
[01:41:15.480 --> 01:41:16.480]  И там политично.
[01:41:16.480 --> 01:41:17.480]  То есть,
[01:41:17.480 --> 01:41:18.480]  не будет волноваться все равно.
[01:41:18.480 --> 01:41:19.480]  Придется тело,
[01:41:19.480 --> 01:41:20.480]  и туда будет.
[01:41:20.480 --> 01:41:21.480]  Смятники быстро.
[01:41:21.480 --> 01:41:22.480]  Смятники быстро.
[01:41:22.480 --> 01:41:23.480]  Смятники.
[01:41:23.480 --> 01:41:25.480]  Вот.
[01:41:25.480 --> 01:41:26.480]  Ну,
[01:41:26.480 --> 01:41:28.480]  то, что у Меднина известно,
[01:41:28.480 --> 01:41:31.480]  у него есть хорошая подрепка про
[01:41:31.480 --> 01:41:32.480]  calling conventions.
[01:41:32.480 --> 01:41:34.480]  И я вам рекомендую,
[01:41:34.480 --> 01:41:37.480]  чтобы разобраться вот во всех этих мелочах.
[01:41:37.480 --> 01:41:40.480]  Как там структуры передаются,
[01:41:40.480 --> 01:41:42.480]  как имена на английском,
[01:41:42.480 --> 01:41:43.480]  и подобное.
[01:41:43.480 --> 01:41:46.480]  На этом, наверное,
[01:41:46.480 --> 01:41:50.480]  про конвенции вызова все.
[01:41:50.480 --> 01:41:51.480]  А,
[01:41:51.480 --> 01:41:52.480]  инвестирук.
[01:41:52.480 --> 01:41:53.480]  Что?
[01:41:53.480 --> 01:41:54.480]  Ведитель.
[01:41:54.480 --> 01:41:55.480]  А, да.
[01:41:55.480 --> 01:41:57.480]  Просто рассказал, все забыл.
[01:41:57.480 --> 01:41:58.480]  На самом деле,
[01:41:58.480 --> 01:41:59.480]  да,
[01:41:59.480 --> 01:42:01.480]  следующий правильный,
[01:42:01.480 --> 01:42:03.480]  правильный
[01:42:03.480 --> 01:42:04.480]  параметр,
[01:42:04.480 --> 01:42:06.480]  который нужно указать.
[01:42:06.480 --> 01:42:07.480]  Ну, а здесь то же самое,
[01:42:07.480 --> 01:42:08.480]  что он сказал в прошлый раз.
[01:42:08.480 --> 01:42:11.480]  Какие регистры функция
[01:42:11.480 --> 01:42:13.480]  может произвольным образом портить,
[01:42:13.480 --> 01:42:16.480]  а какие регистры она должна сохранить.
[01:42:16.480 --> 01:42:19.480]  И вот везде вот здесь вот
[01:42:19.480 --> 01:42:21.480]  используется конвенция,
[01:42:21.480 --> 01:42:23.480]  что регистры
[01:42:23.480 --> 01:42:25.480]  EBX,
[01:42:25.480 --> 01:42:27.480]  EBP,
[01:42:27.480 --> 01:42:28.480]  ESI,
[01:42:28.480 --> 01:42:29.480]  EDI
[01:42:29.480 --> 01:42:30.480]  EDI,
[01:42:30.480 --> 01:42:34.480]  это сохраняемые.
[01:42:34.480 --> 01:42:35.480]  То есть,
[01:42:35.480 --> 01:42:38.480]  когда вызывали вас,
[01:42:38.480 --> 01:42:41.480]  вы можете эти значения менять,
[01:42:41.480 --> 01:42:44.480]  но должны вначале сохранить,
[01:42:44.480 --> 01:42:47.480]  перед возвратом восстановить.
[01:42:47.480 --> 01:42:48.480]  И,
[01:42:48.480 --> 01:42:49.480]  в обратную сторону,
[01:42:49.480 --> 01:42:52.480]  когда вы вызываете какую-то функцию,
[01:42:52.480 --> 01:42:53.480]  там,
[01:42:53.480 --> 01:42:54.480]  какой-нибудь там,
[01:42:54.480 --> 01:42:55.480]  ПУТС,
[01:42:55.480 --> 01:42:56.480]  как мы ее называем,
[01:42:56.480 --> 01:42:58.480]  эта функция гарантирует вам
[01:42:58.480 --> 01:43:00.480]  сохранение этих регистров.
[01:43:01.480 --> 01:43:02.480]  И,
[01:43:02.480 --> 01:43:03.480]  вы можете смело считать,
[01:43:03.480 --> 01:43:04.480]  что регистры
[01:43:04.480 --> 01:43:05.480]  EAX,
[01:43:05.480 --> 01:43:06.480]  ECX,
[01:43:06.480 --> 01:43:07.480]  EDX
[01:43:07.480 --> 01:43:09.480]  будут попорчены.
[01:43:09.480 --> 01:43:12.480]  даже если вы видите,
[01:43:12.480 --> 01:43:14.480]  что у вас какой-нибудь там
[01:43:14.480 --> 01:43:15.480]  EDX сохранился,
[01:43:15.480 --> 01:43:18.480]  на это рассчитывать нельзя.
[01:43:18.480 --> 01:43:19.480]  Там,
[01:43:19.480 --> 01:43:21.480]  какая-нибудь другая версия,
[01:43:21.480 --> 01:43:23.480]  после какого-нибудь там
[01:43:23.480 --> 01:43:24.480]  апдейта системы,
[01:43:24.480 --> 01:43:26.480]  иметь полное право этот
[01:43:26.480 --> 01:43:27.480]  EDX портит.
[01:43:27.480 --> 01:43:28.480]  То есть,
[01:43:28.480 --> 01:43:29.480]  не надо смотреть,
[01:43:29.480 --> 01:43:30.480]  что вот значение
[01:43:30.480 --> 01:43:31.480]  вдруг вышло.
[01:43:31.480 --> 01:43:33.480]  Это просто
[01:43:33.480 --> 01:43:34.480]  чистость и чайность.
[01:43:34.480 --> 01:43:35.480]  То есть,
[01:43:35.480 --> 01:43:36.480]  A,
[01:43:36.480 --> 01:43:37.480]  C,
[01:43:37.480 --> 01:43:38.480]  D,
[01:43:38.480 --> 01:43:39.480]  регистры
[01:43:39.480 --> 01:43:40.480]  портятся.
[01:43:40.480 --> 01:43:41.480]  Поэтому,
[01:43:41.480 --> 01:43:42.480]  если они вам нужны,
[01:43:42.480 --> 01:43:43.480]  перед тем,
[01:43:43.480 --> 01:43:45.480]  как кого-то внешнего вызывать,
[01:43:45.480 --> 01:43:47.480]  вы должны значение сохранить
[01:43:47.480 --> 01:43:48.480]  и восстановить,
[01:43:48.480 --> 01:43:50.480]  когда оно вам потребуется.
[01:43:50.480 --> 01:43:52.480]  так.
[01:43:52.480 --> 01:43:53.480]  Что?
[01:43:53.480 --> 01:43:56.480]  Я больше не забыл?
[01:43:56.480 --> 01:43:57.480]  Ну, вроде,
[01:43:57.480 --> 01:43:58.480]  про это не говорил вам
[01:43:58.480 --> 01:43:59.480]  в прошлый раз.
[01:43:59.480 --> 01:44:00.480]  А это в каких конвенциях?
[01:44:00.480 --> 01:44:01.480]  Во всех?
[01:44:01.480 --> 01:44:02.480]  Во всегда.
[01:44:02.480 --> 01:44:03.480]  Во всех 30-лубитных
[01:44:03.480 --> 01:44:04.480]  конвенциях
[01:44:04.480 --> 01:44:05.480]  вот такие правила.
[01:44:05.480 --> 01:44:06.480]  Ну, плюс еще
[01:44:06.480 --> 01:44:07.480]  в CDP сохраняется
[01:44:07.480 --> 01:44:08.480]  ESP.
[01:44:08.480 --> 01:44:09.480]  Нет.
[01:44:09.480 --> 01:44:10.480]  ESP
[01:44:10.480 --> 01:44:11.480]  это
[01:44:11.480 --> 01:44:13.480]  по специальным правилам.
[01:44:13.480 --> 01:44:15.480]  Стэкпоинтер
[01:44:15.480 --> 01:44:17.480]  меняется по специальным правилам.
[01:44:20.480 --> 01:44:25.480]  Хотя там, по-моему, была какая-то заморочка
[01:44:25.480 --> 01:44:26.480]  в DCC.
[01:44:26.480 --> 01:44:28.480]  Если функция
[01:44:28.480 --> 01:44:31.480]  вот возвращает большое значение,
[01:44:31.480 --> 01:44:33.480]  в каком-то случае
[01:44:33.480 --> 01:44:35.480]  функция
[01:44:35.480 --> 01:44:37.480]  вот эти четыре байта
[01:44:37.480 --> 01:44:39.480]  под возвращаемое значение
[01:44:39.480 --> 01:44:40.480]  со стэка снимает.
[01:44:40.480 --> 01:44:42.480]  Что-то я такое вспоминаю.
[01:44:42.480 --> 01:44:43.480]  Четко не помню.
[01:44:43.480 --> 01:44:45.480]  Почитайте.
[01:44:45.480 --> 01:44:48.480]  Если вам интересно разобраться.
[01:44:48.480 --> 01:44:51.480]  вот такие тонкости.
[01:44:51.480 --> 01:44:54.480]  Я помню, что такое существовало.
[01:44:54.480 --> 01:44:58.480]  Но, как бы, вывод из всего этого.
[01:44:58.480 --> 01:45:01.480]  Не надо возвращать то, что не есть.
[01:45:01.480 --> 01:45:06.480]  Если вы хотите стыковаться к вашей функции
[01:45:06.480 --> 01:45:13.480]  не только из C+, особенно не только из плюсов,
[01:45:13.480 --> 01:45:16.480]  просто не возвращайтесь к функции
[01:45:16.480 --> 01:45:17.480]  лучше всего.
[01:45:17.480 --> 01:45:20.480]  Если хотите вернуть большое значение,
[01:45:20.480 --> 01:45:22.480]  добавьте явный аргумент,
[01:45:22.480 --> 01:45:25.480]  который будет под возвращаемое значение.
[01:45:25.480 --> 01:45:27.480]  И будет у вас счастье.
[01:45:28.480 --> 01:45:31.480]  Само возвращаемое значение используйте
[01:45:31.480 --> 01:45:33.480]  либо как код возврата,
[01:45:33.480 --> 01:45:35.480]  либо как указатель.
[01:45:35.480 --> 01:45:37.480]  Указатель гарантированно врезает в регистр,
[01:45:37.480 --> 01:45:40.480]  с ним никаких проблем не будет.
[01:45:40.480 --> 01:45:43.480]  А вот возвращать огромные структурки
[01:45:43.480 --> 01:45:44.480]  прямо как структурки,
[01:45:44.480 --> 01:45:47.480]  может это, конечно, не красиво выглядит в кусах,
[01:45:47.480 --> 01:45:50.480]  но стыковаться к этому из любого другого языка
[01:45:50.480 --> 01:45:52.480]  просто ад.
[01:45:52.480 --> 01:45:59.480]  Вот это было второе.
[01:45:59.480 --> 01:46:04.480]  Превращаемое значение к конвенции.
[01:46:04.480 --> 01:46:09.480]  Наверное, про конвенции я вам все сказал.
[01:46:09.480 --> 01:46:13.480]  Более подробно здесь немножко включить.
[01:46:13.480 --> 01:46:17.480]  Ну так, почти все сказал.
[01:46:17.480 --> 01:46:19.480]  Там есть особенности про то,
[01:46:19.480 --> 01:46:22.480]  как передавать числа с плавной щиточкой.
[01:46:22.480 --> 01:46:24.480]  Но раз мы пока не умеем работать с плавной щиточкой,
[01:46:24.480 --> 01:46:27.480]  то я вам пока это не рассказываю.
[01:46:27.480 --> 01:46:30.480]  Мы это отложим до плавной щиточки.
[01:46:30.480 --> 01:46:34.480]  Ну и в трехбитном мире там совсем другие конвенции,
[01:46:34.480 --> 01:46:37.480]  поэтому тоже я туда пока не лезу.
[01:46:37.480 --> 01:46:40.480]  Там еще свои дополнительные фичи будут.
[01:46:40.480 --> 01:46:43.480]  Ну нам этого помогать.
[01:46:43.480 --> 01:46:45.480]  В основном, что вы будете видеть,
[01:46:45.480 --> 01:46:48.480]  это вот хишный runtime cdcl
[01:46:48.480 --> 01:46:52.480]  и под виндой системная функция stzcall.
[01:46:52.480 --> 01:46:55.480]  Вот это вот, это что вы будете видеть,
[01:46:55.480 --> 01:46:58.480]  если вы не сознательный человек,
[01:46:58.480 --> 01:47:00.480]  в винду.
[01:47:00.480 --> 01:47:02.480]  И fastcall вы это можете увидеть,
[01:47:02.480 --> 01:47:04.480]  но что это такое?
[01:47:04.480 --> 01:47:08.480]  Надо разбираться, глядя на конкретный компилятор,
[01:47:08.480 --> 01:47:10.480]  где это случилось.
[01:47:10.480 --> 01:47:14.480]  Поэтому вот стыковать fastcall функции друг к другу,
[01:47:14.480 --> 01:47:16.480]  вот у вас могут быть проблемы.
[01:47:16.480 --> 01:47:18.480]  Не надо так.
[01:47:20.480 --> 01:47:22.480]  У нас на сегодня еще много запланировано?
[01:47:22.480 --> 01:47:25.480]  Так я вообще думаю, наверное, дарилась, как ты уже загрузил,
[01:47:25.480 --> 01:47:27.480]  она заканчивается.
[01:47:27.480 --> 01:47:33.480]  Уже почти две пары, да.
[01:47:33.480 --> 01:47:35.480]  Я просто не знаю, сколько на росте.
[01:47:35.480 --> 01:47:37.480]  Ну и по 5.50 сейчас.
[01:47:37.480 --> 01:47:38.480]  Ладно, я не знаю про описание.
[01:47:38.480 --> 01:47:47.480]  Нет, страничная адресация у нас в конце курса.
[01:47:47.480 --> 01:47:51.480]  Мне казалось, до 6.30, да, кажется, до 6.20.
[01:47:51.480 --> 01:47:53.480]  Просто очень сильный метод.
[01:47:53.480 --> 01:47:55.480]  50 минут еще надо сейчас.
[01:47:55.480 --> 01:47:59.480]  То есть выравнивание данных, оно по-прежнему осмыслено.
[01:47:59.480 --> 01:48:05.480]  То есть если вы можете задешево данные выровнять,
[01:48:05.480 --> 01:48:07.480]  выровнять.
[01:48:07.480 --> 01:48:10.480]  Но если не можете выровнять,
[01:48:10.480 --> 01:48:14.480]  на x86 особенно париться по этому поводу не надо.
[01:48:14.480 --> 01:48:19.480]  Какие-то ваши программные извращенные способы
[01:48:19.480 --> 01:48:23.480]  как-то выровнять данные, скорее всего, будут гораздо дороже,
[01:48:23.480 --> 01:48:25.480]  чем это сделает железо.
[01:48:25.480 --> 01:48:29.480]  Поэтому если можно вот прям почти бесплатно выровнять,
[01:48:29.480 --> 01:48:31.480]  то стоит так сделать.
[01:48:31.480 --> 01:48:35.480]  Если нужно программно мучиться, не стоит так делать.
[01:48:35.480 --> 01:48:39.480]  На x86 железо это сделает лучше, чем вы.
[01:48:39.480 --> 01:48:41.480]  Комментажевые даже комплименты,
[01:48:41.480 --> 01:48:44.480]  когда там в начале пункта, где двигает по
[01:48:44.480 --> 01:48:47.480]  ну какое-то число, что мы будем.
[01:48:47.480 --> 01:48:49.480]  Что-то...
[01:48:49.480 --> 01:48:52.480]  Нет, еще раз, там фактически все выглядит,
[01:48:52.480 --> 01:48:54.480]  конечно, есть кое-что про это,
[01:48:54.480 --> 01:48:56.480]  но мы туда пока не идем.
[01:48:56.480 --> 01:49:00.480]  Потому что пока даже не совсем понятно, зачем она двигается.
[01:49:00.480 --> 01:49:02.480]  Мы еще просто за них смотрели.
[01:49:02.480 --> 01:49:08.480]  Я еще просто беру на вас, мне кажется, что это подгустал.
[01:49:08.480 --> 01:49:10.480]  Да.
[01:49:10.480 --> 01:49:11.480]  Ну, есть такое.
[01:49:11.480 --> 01:49:13.480]  Поэтому давайте я вас пищу.
[01:49:15.480 --> 01:49:17.480]  То есть у нас пока к плану,
[01:49:17.480 --> 01:49:19.480]  первая лабораторная.
[01:49:20.480 --> 01:49:22.480]  Это дизайн?
[01:49:22.480 --> 01:49:24.480]  Ну, пока не зазнаем.
[01:49:24.480 --> 01:49:25.480]  Но...
[01:49:25.480 --> 01:49:26.480]  Дизайн, когда не вылезет.
[01:49:26.480 --> 01:49:27.480]  Но...
[01:49:27.480 --> 01:49:28.480]  Дизайн, когда не вылезет.
[01:49:28.480 --> 01:49:29.480]  Начать через первую.
[01:49:29.480 --> 01:49:30.480]  Просто я понимаю.
